alpha urisk trisk pvalue models
2.0 0.1547 38.4653 2.29e-301 lgbm.lrank.1500.63.0.05.0.4.min125Trisk
3.0 0.1257 26.3497 7.73e-148 lgbm.lrank.1500.63.0.05.0.4.min125Trisk
4.0 0.0967 17.4206 6.0e-67 lgbm.lrank.1500.63.0.05.0.4.min125Trisk
5.0 0.0677 10.6575 2.25e-26 lgbm.lrank.1500.63.0.05.0.4.min125Trisk
6.0 0.0387 5.3968 6.94e-08 lgbm.lrank.1500.63.0.05.0.4.min125Trisk
7.0 0.0096 1.2067 0.228 lgbm.lrank.1500.63.0.05.0.4.min125Trisk
8.0 -0.0194 -2.1999 0.0278 lgbm.lrank.1500.63.0.05.0.4.min125Trisk
9.0 -0.0484 -5.0186 5.3e-07 lgbm.lrank.1500.63.0.05.0.4.min125Trisk
10.0 -0.0774 -7.3865 1.63e-13 lgbm.lrank.1500.63.0.05.0.4.min125Trisk
0.0 0.2155 78.595 0.0 lgbm.lrank.1500.63.0.05.0.4.min126Trisk
1.0 0.1867 55.9518 0.0 lgbm.lrank.1500.63.0.05.0.4.min126Trisk
2.0 0.158 39.242 1.03e-312 lgbm.lrank.1500.63.0.05.0.4.min126Trisk
3.0 0.1292 27.1083 4.74e-156 lgbm.lrank.1500.63.0.05.0.4.min126Trisk
4.0 0.1005 18.135 2.63e-72 lgbm.lrank.1500.63.0.05.0.4.min126Trisk
5.0 0.0717 11.3222 1.56e-29 lgbm.lrank.1500.63.0.05.0.4.min126Trisk
6.0 0.0429 6.0139 1.88e-09 lgbm.lrank.1500.63.0.05.0.4.min126Trisk
7.0 0.0142 1.7805 0.075 lgbm.lrank.1500.63.0.05.0.4.min126Trisk
8.0 -0.0146 -1.6645 0.096 lgbm.lrank.1500.63.0.05.0.4.min126Trisk
9.0 -0.0434 -4.517 6.35e-06 lgbm.lrank.1500.63.0.05.0.4.min126Trisk
10.0 -0.0721 -6.9146 4.99e-12 lgbm.lrank.1500.63.0.05.0.4.min126Trisk
0.0 0.2145 78.0046 0.0 lgbm.lrank.1500.63.0.05.0.4.min127Trisk
1.0 0.1855 55.4396 0.0 lgbm.lrank.1500.63.0.05.0.4.min127Trisk
2.0 0.1564 38.7829 5.51e-306 lgbm.lrank.1500.63.0.05.0.4.min127Trisk
3.0 0.1273 26.6804 2.15e-151 lgbm.lrank.1500.63.0.05.0.4.min127Trisk
4.0 0.0983 17.7255 3.28e-69 lgbm.lrank.1500.63.0.05.0.4.min127Trisk
5.0 0.0692 10.9236 1.29e-27 lgbm.lrank.1500.63.0.05.0.4.min127Trisk
6.0 0.0401 5.622 1.94e-08 lgbm.lrank.1500.63.0.05.0.4.min127Trisk
7.0 0.0111 1.3929 0.164 lgbm.lrank.1500.63.0.05.0.4.min127Trisk
8.0 -0.018 -2.0493 0.0405 lgbm.lrank.1500.63.0.05.0.4.min127Trisk
9.0 -0.047 -4.9001 9.73e-07 lgbm.lrank.1500.63.0.05.0.4.min127Trisk
10.0 -0.0761 -7.2966 3.18e-13 lgbm.lrank.1500.63.0.05.0.4.min127Trisk
0.0 0.201 73.8529 0.0 lgbm.lrank.1500.63.0.05.0.4.min128min129min130min131Trisk
1.0 0.1697 50.5262 0.0 lgbm.lrank.1500.63.0.05.0.4.min128min129min130min131Trisk
2.0 0.1384 33.8323 2.95e-237 lgbm.lrank.1500.63.0.05.0.4.min128min129min130min131Trisk
