alpha urisk trisk pvalue models
5.0 0.0738 11.7131 1.78e-31 lgbm.lrank.1500.63.0.05.0.4.min99Trisk
6.0 0.0452 6.3676 2.01e-10 lgbm.lrank.1500.63.0.05.0.4.min99Trisk
7.0 0.0166 2.1006 0.0357 lgbm.lrank.1500.63.0.05.0.4.min99Trisk
8.0 -0.012 -1.3741 0.169 lgbm.lrank.1500.63.0.05.0.4.min99Trisk
9.0 -0.0406 -4.253 2.13e-05 lgbm.lrank.1500.63.0.05.0.4.min99Trisk
10.0 -0.0692 -6.6738 2.63e-11 lgbm.lrank.1500.63.0.05.0.4.min99Trisk
0.0 0.1243 50.8162 0.0 lgbm.lrank.1500.63.0.05.0.4.part1Trisk
1.0 0.0847 26.6425 5.52e-151 lgbm.lrank.1500.63.0.05.0.4.part1Trisk
2.0 0.0451 11.2435 3.78e-29 lgbm.lrank.1500.63.0.05.0.4.part1Trisk
3.0 0.0055 1.1217 0.262 lgbm.lrank.1500.63.0.05.0.4.part1Trisk
4.0 -0.0341 -5.8862 4.08e-09 lgbm.lrank.1500.63.0.05.0.4.part1Trisk
5.0 -0.0737 -10.973 7.52e-28 lgbm.lrank.1500.63.0.05.0.4.part1Trisk
6.0 -0.1133 -14.8125 4.18e-49 lgbm.lrank.1500.63.0.05.0.4.part1Trisk
7.0 -0.153 -17.8039 8.48e-70 lgbm.lrank.1500.63.0.05.0.4.part1Trisk
8.0 -0.1926 -20.1956 7.12e-89 lgbm.lrank.1500.63.0.05.0.4.part1Trisk
9.0 -0.2322 -22.1491 4.45e-106 lgbm.lrank.1500.63.0.05.0.4.part1Trisk
10.0 -0.2718 -23.7733 1.82e-121 lgbm.lrank.1500.63.0.05.0.4.part1Trisk
0.0 0.1096 35.3835 5.07e-258 lgbm.lrank.1500.63.0.05.0.4.part2Trisk
1.0 0.0368 8.2962 1.22e-16 lgbm.lrank.1500.63.0.05.0.4.part2Trisk
2.0 -0.0359 -6.0879 1.19e-09 lgbm.lrank.1500.63.0.05.0.4.part2Trisk
3.0 -0.1086 -14.6817 2.78e-48 lgbm.lrank.1500.63.0.05.0.4.part2Trisk
4.0 -0.1814 -20.3218 6.09e-90 lgbm.lrank.1500.63.0.05.0.4.part2Trisk
5.0 -0.2541 -24.285 1.63e-126 lgbm.lrank.1500.63.0.05.0.4.part2Trisk
6.0 -0.3268 -27.2141 3.27e-157 lgbm.lrank.1500.63.0.05.0.4.part2Trisk
7.0 -0.3996 -29.4634 8.37e-183 lgbm.lrank.1500.63.0.05.0.4.part2Trisk
8.0 -0.4723 -31.2434 2.98e-204 lgbm.lrank.1500.63.0.05.0.4.part2Trisk
9.0 -0.5451 -32.6861 2.2e-222 lgbm.lrank.1500.63.0.05.0.4.part2Trisk
10.0 -0.6178 -33.8786 7.25e-238 lgbm.lrank.1500.63.0.05.0.4.part2Trisk
0.0 0.2171 78.8836 0.0 LGBMTrisk
1.0 0.1884 56.2234 0.0 LGBMTrisk
2.0 0.1597 39.4973 1.78e-316 LGBMTrisk
3.0 0.131 27.3539 9.43e-159 LGBMTrisk
4.0 0.1023 18.3758 3.71e-74 LGBMTrisk
5.0 0.0736 11.561 1.03e-30 LGBMTrisk
6.0 0.0448 6.252 4.22e-10 LGBMTrisk
7.0 0.0161 2.0189 0.0435 LGBMTrisk
8.0 -0.0126 -1.4254 0.154 LGBMTrisk
9.0 -0.0413 -4.277 1.91e-05 LGBMTrisk
10.0 -0.07 -6.6737 2.63e-11 LGBMTrisk
0.0 0.2162 78.6597 0.0 LGBMTriskes1000Trisk
1.0 0.1873 55.8965 0.0 LGBMTriskes1000Trisk
2.0 0.1583 39.1391 3.37e-311 LGBMTriskes1000Trisk
3.0 0.1293 26.9917 8.94e-155 LGBMTriskes1000Trisk
4.0 0.1004 18.0185 2.03e-71 LGBMTriskes1000Trisk
5.0 0.0714 11.2111 5.42e-29 LGBMTriskes1000Trisk
6.0 0.0424 5.9098 3.54e-09 LGBMTriskes1000Trisk
7.0 0.0135 1.6836 0.0923 LGBMTriskes1000Trisk
8.0 -0.0155 -1.7545 0.0794 LGBMTriskes1000Trisk
9.0 -0.0445 -4.6008 4.26e-06 LGBMTriskes1000Trisk
10.0 -0.0734 -6.9928 2.87e-12 LGBMTriskes1000Trisk
0.0 0.2162 78.6597 0.0 LGBMTriskes1500Trisk
1.0 0.1873 55.8965 0.0 LGBMTriskes1500Trisk
2.0 0.1583 39.1391 3.37e-311 LGBMTriskes1500Trisk
3.0 0.1293 26.9917 8.94e-155 LGBMTriskes1500Trisk
4.0 0.1004 18.0185 2.03e-71 LGBMTriskes1500Trisk
5.0 0.0714 11.2111 5.42e-29 LGBMTriskes1500Trisk
6.0 0.0424 5.9098 3.54e-09 LGBMTriskes1500Trisk
7.0 0.0135 1.6836 0.0923 LGBMTriskes1500Trisk
8.0 -0.0155 -1.7545 0.0794 LGBMTriskes1500Trisk
9.0 -0.0445 -4.6008 4.26e-06 LGBMTriskes1500Trisk
10.0 -0.0734 -6.9928 2.87e-12 LGBMTriskes1500Trisk
0.0 0.2133 78.0203 0.0 LGBMTriskes150Trisk
1.0 0.1842 55.1667 0.0 LGBMTriskes150Trisk
2.0 0.1551 38.4131 1.31e-300 LGBMTriskes150Trisk
3.0 0.126 26.307 2.21e-147 LGBMTriskes150Trisk
4.0 0.0968 17.3845 1.11e-66 LGBMTriskes150Trisk
5.0 0.0677 10.6262 3.14e-26 LGBMTriskes150Trisk
6.0 0.0386 5.3693 8.09e-08 LGBMTriskes150Trisk
7.0 0.0095 1.1822 0.237 LGBMTriskes150Trisk
8.0 -0.0196 -2.2219 0.0263 LGBMTriskes150Trisk
9.0 -0.0488 -5.0385 4.78e-07 LGBMTriskes150Trisk
10.0 -0.0779 -7.4047 1.42e-13 LGBMTriskes150Trisk
0.0 0.2162 78.6597 0.0 LGBMTriskes2000Trisk
1.0 0.1873 55.8965 0.0 LGBMTriskes2000Trisk
2.0 0.1583 39.1391 3.37e-311 LGBMTriskes2000Trisk
3.0 0.1293 26.9917 8.94e-155 LGBMTriskes2000Trisk
4.0 0.1004 18.0185 2.03e-71 LGBMTriskes2000Trisk
5.0 0.0714 11.2111 5.42e-29 LGBMTriskes2000Trisk
6.0 0.0424 5.9098 3.54e-09 LGBMTriskes2000Trisk
7.0 0.0135 1.6836 0.0923 LGBMTriskes2000Trisk
8.0 -0.0155 -1.7545 0.0794 LGBMTriskes2000Trisk
9.0 -0.0445 -4.6008 4.26e-06 LGBMTriskes2000Trisk
10.0 -0.0734 -6.9928 2.87e-12 LGBMTriskes2000Trisk
0.0 0.2139 78.2151 0.0 LGBMTriskes200Trisk
1.0 0.1848 55.3708 0.0 LGBMTriskes200Trisk
2.0 0.1558 38.6077 1.96e-303 LGBMTriskes200Trisk
3.0 0.1267 26.484 2.81e-149 LGBMTriskes200Trisk
4.0 0.0976 17.5426 7.54e-68 LGBMTriskes200Trisk
5.0 0.0685 10.7667 7.02e-27 LGBMTriskes200Trisk
6.0 0.0394 5.4941 4.03e-08 LGBMTriskes200Trisk
7.0 0.0103 1.2932 0.196 LGBMTriskes200Trisk
8.0 -0.0187 -2.1228 0.0338 LGBMTriskes200Trisk
9.0 -0.0478 -4.9498 7.55e-07 LGBMTriskes200Trisk
10.0 -0.0769 -7.325 2.58e-13 LGBMTriskes200Trisk
0.0 0.2148 78.4519 0.0 LGBMTriskes250Trisk
1.0 0.1858 55.7023 0.0 LGBMTriskes250Trisk
2.0 0.1569 38.9586 1.49e-308 LGBMTriskes250Trisk
3.0 0.128 26.8212 6.42e-153 LGBMTriskes250Trisk
4.0 0.099 17.8551 3.49e-70 LGBMTriskes250Trisk
5.0 0.0701 11.0527 3.14e-28 LGBMTriskes250Trisk
6.0 0.0411 5.755 8.93e-09 LGBMTriskes250Trisk
7.0 0.0122 1.5315 0.126 LGBMTriskes250Trisk
8.0 -0.0167 -1.9045 0.0569 LGBMTriskes250Trisk
9.0 -0.0457 -4.7491 2.07e-06 LGBMTriskes250Trisk
10.0 -0.0746 -7.1398 1.0e-12 LGBMTriskes250Trisk
0.0 0.2151 78.4621 0.0 LGBMTriskes300Trisk
1.0 0.1861 55.6612 0.0 LGBMTriskes300Trisk
2.0 0.1571 38.9026 9.83e-308 LGBMTriskes300Trisk
3.0 0.1282 26.7695 2.34e-152 LGBMTriskes300Trisk
4.0 0.0992 17.8152 6.98e-70 LGBMTriskes300Trisk
5.0 0.0702 11.0266 4.18e-28 LGBMTriskes300Trisk
6.0 0.0412 5.7424 9.62e-09 LGBMTriskes300Trisk
7.0 0.0123 1.5315 0.126 LGBMTriskes300Trisk
8.0 -0.0167 -1.8932 0.0584 LGBMTriskes300Trisk
9.0 -0.0457 -4.7278 2.3e-06 LGBMTriskes300Trisk
10.0 -0.0747 -7.1095 1.25e-12 LGBMTriskes300Trisk
0.0 0.2156 78.5707 0.0 LGBMTriskes500Trisk
1.0 0.1867 55.8108 0.0 LGBMTriskes500Trisk
2.0 0.1577 39.0595 4.96e-310 LGBMTriskes500Trisk
3.0 0.1288 26.9184 5.63e-154 LGBMTriskes500Trisk
4.0 0.0998 17.9511 6.59e-71 LGBMTriskes500Trisk
5.0 0.0709 11.1487 1.09e-28 LGBMTriskes500Trisk
6.0 0.042 5.8515 5.03e-09 LGBMTriskes500Trisk
7.0 0.013 1.629 0.103 LGBMTriskes500Trisk
8.0 -0.0159 -1.8061 0.0709 LGBMTriskes500Trisk
9.0 -0.0449 -4.6497 3.37e-06 LGBMTriskes500Trisk
10.0 -0.0738 -7.0395 2.06e-12 LGBMTriskes500Trisk
0.0 0.2175 78.6513 0.0 LGBMTriskweightedes2000Trisk
1.0 0.1882 55.7651 0.0 LGBMTriskweightedes2000Trisk
2.0 0.1588 38.9584 1.5e-308 LGBMTriskweightedes2000Trisk
3.0 0.1294 26.7921 1.33e-152 LGBMTriskweightedes2000Trisk
4.0 0.1 17.8119 7.39e-70 LGBMTriskweightedes2000Trisk
5.0 0.0707 11.0023 5.45e-28 LGBMTriskweightedes2000Trisk
6.0 0.0413 5.7006 1.23e-08 LGBMTriskweightedes2000Trisk
7.0 0.0119 1.475 0.14 LGBMTriskweightedes2000Trisk
8.0 -0.0175 -1.9623 0.0498 LGBMTriskweightedes2000Trisk
9.0 -0.0469 -4.8078 1.55e-06 LGBMTriskweightedes2000Trisk
10.0 -0.0762 -7.1989 6.52e-13 LGBMTriskweightedes2000Trisk
0.0 0.2167 78.5695 0.0 LGBMTriskweightedes300Trisk
1.0 0.1877 55.8624 0.0 LGBMTriskweightedes300Trisk
2.0 0.1587 39.1306 4.49e-311 LGBMTriskweightedes300Trisk
3.0 0.1297 26.9941 8.41e-155 LGBMTriskweightedes300Trisk
4.0 0.1006 18.0254 1.8e-71 LGBMTriskweightedes300Trisk
5.0 0.0716 11.2196 4.93e-29 LGBMTriskweightedes300Trisk
6.0 0.0426 5.9185 3.36e-09 LGBMTriskweightedes300Trisk
7.0 0.0136 1.692 0.0907 LGBMTriskweightedes300Trisk
8.0 -0.0155 -1.7467 0.0807 LGBMTriskweightedes300Trisk
9.0 -0.0445 -4.5936 4.41e-06 LGBMTriskweightedes300Trisk
10.0 -0.0735 -6.9862 3.01e-12 LGBMTriskweightedes300Trisk
0.0 0.2167 78.5695 0.0 LGBMTriskweightedes500Trisk
1.0 0.1877 55.8624 0.0 LGBMTriskweightedes500Trisk
2.0 0.1587 39.1306 4.49e-311 LGBMTriskweightedes500Trisk
3.0 0.1297 26.9941 8.41e-155 LGBMTriskweightedes500Trisk
4.0 0.1006 18.0254 1.8e-71 LGBMTriskweightedes500Trisk
5.0 0.0716 11.2196 4.93e-29 LGBMTriskweightedes500Trisk
6.0 0.0426 5.9185 3.36e-09 LGBMTriskweightedes500Trisk
7.0 0.0136 1.692 0.0907 LGBMTriskweightedes500Trisk
8.0 -0.0155 -1.7467 0.0807 LGBMTriskweightedes500Trisk
9.0 -0.0445 -4.5936 4.41e-06 LGBMTriskweightedes500Trisk
10.0 -0.0735 -6.9862 3.01e-12 LGBMTriskweightedes500Trisk
0.0 0.202 74.4966 0.0 QuickRankTrisk
1.0 0.1714 51.4412 0.0 QuickRankTrisk
2.0 0.1408 34.7995 4.05e-250 QuickRankTrisk
3.0 0.1102 22.9013 4.39e-113 QuickRankTrisk
4.0 0.0797 14.1944 2.82e-45 QuickRankTrisk
5.0 0.0491 7.6316 2.54e-14 QuickRankTrisk
6.0 0.0185 2.5445 0.011 QuickRankTrisk
7.0 -0.0121 -1.4971 0.134 QuickRankTrisk
8.0 -0.0427 -4.7765 1.81e-06 QuickRankTrisk
9.0 -0.0733 -7.4859 7.73e-14 QuickRankTrisk
10.0 -0.1039 -9.7593 2.13e-22 QuickRankTrisk
0.0 0.1908 70.5721 0.0 RankLibTrisk
1.0 0.1578 46.8758 0.0 RankLibTrisk
2.0 0.1247 30.2429 4.55e-192 RankLibTrisk
3.0 0.0916 18.5745 1.06e-75 RankLibTrisk
4.0 0.0585 10.1423 4.73e-24 RankLibTrisk
5.0 0.0255 3.8406 0.000124 RankLibTrisk
6.0 -0.0076 -1.0152 0.31 RankLibTrisk
7.0 -0.0407 -4.8562 1.22e-06 RankLibTrisk
8.0 -0.0738 -7.9628 1.87e-15 RankLibTrisk
9.0 -0.1068 -10.523 9.32e-26 RankLibTrisk
10.0 -0.1399 -12.6669 1.76e-36 RankLibTrisk
0.0 0.1484 57.2331 0.0 SARO1000Trisk
1.0 0.1079 31.8063 3.01e-211 SARO1000Trisk
2.0 0.0674 15.6961 7.6e-55 SARO1000Trisk
3.0 0.0268 5.1228 3.07e-07 SARO1000Trisk
4.0 -0.0137 -2.1983 0.028 SARO1000Trisk
5.0 -0.0542 -7.516 6.15e-14 SARO1000Trisk
6.0 -0.0947 -11.5331 1.42e-30 SARO1000Trisk
7.0 -0.1352 -14.6655 3.52e-48 SARO1000Trisk
8.0 -0.1757 -17.172 3.94e-65 SARO1000Trisk
9.0 -0.2162 -19.2207 7.86e-81 SARO1000Trisk
10.0 -0.2567 -20.9252 3.94e-95 SARO1000Trisk
0.0 0.1481 57.0387 0.0 SARO10kTrisk
1.0 0.1074 31.6412 3.48e-209 SARO10kTrisk
2.0 0.0666 15.528 9.94e-54 SARO10kTrisk
3.0 0.0259 4.9411 7.9e-07 SARO10kTrisk
4.0 -0.0149 -2.395 0.0166 SARO10kTrisk
5.0 -0.0556 -7.7266 1.21e-14 SARO10kTrisk
6.0 -0.0964 -11.7558 1.08e-31 SARO10kTrisk
7.0 -0.1371 -14.8986 1.19e-49 SARO10kTrisk
8.0 -0.1779 -17.4139 6.72e-67 SARO10kTrisk
9.0 -0.2186 -19.4702 7.45e-83 SARO10kTrisk
10.0 -0.2594 -21.1812 2.25e-97 SARO10kTrisk
0.0 0.1438 55.3918 0.0 SARO5000Trisk
1.0 0.1023 30.0894 3.15e-190 SARO5000Trisk
2.0 0.0608 14.1209 7.85e-45 SARO5000Trisk
3.0 0.0193 3.6648 0.000249 SARO5000Trisk
4.0 -0.0222 -3.5647 0.000366 SARO5000Trisk
5.0 -0.0637 -8.8107 1.46e-18 SARO5000Trisk
6.0 -0.1052 -12.7709 4.74e-37 SARO5000Trisk
7.0 -0.1467 -15.8574 6.3e-56 SARO5000Trisk
8.0 -0.1882 -18.3262 8.96e-74 SARO5000Trisk
9.0 -0.2297 -20.3434 4.0e-90 SARO5000Trisk
10.0 -0.2712 -22.0212 6.59e-105 SARO5000Trisk
0.0 0.2047 75.1226 0.0 SaroTrisk
1.0 0.1741 52.0234 0.0 SaroTrisk
2.0 0.1435 35.3289 2.81e-257 SaroTrisk
3.0 0.1129 23.3795 1.2e-117 SaroTrisk
4.0 0.0823 14.6275 6.08e-48 SaroTrisk
5.0 0.0517 8.0264 1.12e-15 SaroTrisk
6.0 0.0212 2.907 0.00366 SaroTrisk
7.0 -0.0094 -1.1619 0.245 SaroTrisk
8.0 -0.04 -4.4644 8.12e-06 SaroTrisk
9.0 -0.0706 -7.1936 6.78e-13 SaroTrisk
10.0 -0.1012 -9.4841 3.02e-21 SaroTrisk
0.0 0.1478 56.7254 0.0 URISK1000Trisk
1.0 0.1069 31.3609 1.05e-205 URISK1000Trisk
2.0 0.066 15.2937 3.42e-52 URISK1000Trisk
3.0 0.025 4.7499 2.06e-06 URISK1000Trisk
4.0 -0.0159 -2.5501 0.0108 URISK1000Trisk
5.0 -0.0569 -7.8522 4.52e-15 URISK1000Trisk
6.0 -0.0978 -11.8572 3.3e-32 URISK1000Trisk
7.0 -0.1388 -14.9801 3.61e-50 URISK1000Trisk
8.0 -0.1797 -17.4788 2.24e-67 URISK1000Trisk
9.0 -0.2206 -19.521 2.86e-83 URISK1000Trisk
10.0 -0.2616 -21.2201 1.02e-97 URISK1000Trisk
0.0 0.1468 57.0282 0.0 URISK500Trisk
1.0 0.1071 31.8609 6.23e-212 URISK500Trisk
2.0 0.0674 15.8579 6.25e-56 URISK500Trisk
3.0 0.0277 5.3417 9.42e-08 URISK500Trisk
4.0 -0.012 -1.9427 0.0521 URISK500Trisk
5.0 -0.0516 -7.2342 5.04e-13 URISK500Trisk
6.0 -0.0913 -11.2312 4.33e-29 URISK500Trisk
7.0 -0.131 -14.3477 3.27e-46 URISK500Trisk
8.0 -0.1707 -16.841 9.5e-63 URISK500Trisk
9.0 -0.2104 -18.8787 4.27e-78 URISK500Trisk
10.0 -0.25 -20.5738 4.31e-92 URISK500Trisk
0.0 0.1449 55.9982 0.0 URISK5kTrisk
1.0 0.1036 30.5388 1.23e-195 URISK5kTrisk
2.0 0.0623 14.4965 3.96e-47 URISK5kTrisk
3.0 0.021 4.0 6.38e-05 URISK5kTrisk
4.0 -0.0203 -3.2547 0.00114 URISK5kTrisk
5.0 -0.0616 -8.5183 1.86e-17 URISK5kTrisk
6.0 -0.1029 -12.4914 1.56e-35 URISK5kTrisk
7.0 -0.1442 -15.5879 3.99e-54 URISK5kTrisk
8.0 -0.1855 -18.0647 9.04e-72 URISK5kTrisk
9.0 -0.2268 -20.0884 5.69e-88 URISK5kTrisk
10.0 -0.268 -21.7718 1.21e-102 URISK5kTrisk
0.0 0.2118 76.2606 0.0 XGBTrisk
1.0 0.1818 53.4094 0.0 XGBTrisk
2.0 0.1517 36.7675 3.77e-277 XGBTrisk
3.0 0.1217 24.8108 8.43e-132 XGBTrisk
4.0 0.0916 16.0366 3.85e-57 XGBTrisk
5.0 0.0616 9.4121 5.98e-21 XGBTrisk
6.0 0.0316 4.2716 1.96e-05 XGBTrisk
7.0 0.0015 0.1849 0.853 XGBTrisk
8.0 -0.0285 -3.1326 0.00174 XGBTrisk
9.0 -0.0586 -5.8745 4.38e-09 XGBTrisk
10.0 -0.0886 -8.1756 3.31e-16 XGBTrisk
