alpha urisk trisk pvalue models
6.0 -0.1295 -17.8796 6.89e-70 JFUriskAlpha5Trisk
7.0 -0.1621 -19.8778 1.73e-85 JFUriskAlpha5Trisk
8.0 -0.1947 -21.4632 6.67e-99 JFUriskAlpha5Trisk
9.0 -0.2274 -22.7502 1.91e-110 JFUriskAlpha5Trisk
10.0 -0.26 -23.8148 2.0e-120 JFUriskAlpha5Trisk
0.0 0.0738 32.398 4.05e-214 JFUriskTrisk
1.0 0.0409 13.6142 1.17e-41 JFUriskTrisk
2.0 0.0081 2.1014 0.0356 JFUriskTrisk
3.0 -0.0248 -5.2401 1.65e-07 JFUriskTrisk
4.0 -0.0576 -10.2147 2.56e-24 JFUriskTrisk
5.0 -0.0905 -13.7701 1.45e-42 JFUriskTrisk
6.0 -0.1234 -16.4232 1.85e-59 JFUriskTrisk
7.0 -0.1562 -18.4723 2.32e-74 JFUriskTrisk
8.0 -0.1891 -20.0995 2.6e-87 JFUriskTrisk
9.0 -0.2219 -21.4212 1.55e-98 JFUriskTrisk
10.0 -0.2548 -22.5152 2.7e-108 JFUriskTrisk
0.0 0.0723 32.7064 6.87e-218 LGBMTriskTrisk
1.0 0.0408 14.0247 4.57e-44 LGBMTriskTrisk
2.0 0.0093 2.5065 0.0122 LGBMTriskTrisk
3.0 -0.0222 -4.8627 1.18e-06 LGBMTriskTrisk
4.0 -0.0537 -9.8652 8.41e-23 LGBMTriskTrisk
5.0 -0.0852 -13.4447 1.1e-40 LGBMTriskTrisk
6.0 -0.1167 -16.1176 2.25e-57 LGBMTriskTrisk
7.0 -0.1482 -18.183 3.67e-72 LGBMTriskTrisk
8.0 -0.1798 -19.8236 4.78e-85 LGBMTriskTrisk
9.0 -0.2113 -21.1567 3.07e-96 LGBMTriskTrisk
10.0 -0.2428 -22.2602 5.54e-106 LGBMTriskTrisk
0.0 0.0446 20.8259 2.11e-93 SARO10000Trisk
1.0 0.0049 1.6587 0.0972 SARO10000Trisk
2.0 -0.0348 -8.8993 7.12e-19 SARO10000Trisk
3.0 -0.0745 -15.2474 1.24e-51 SARO10000Trisk
4.0 -0.1142 -19.4052 1.15e-81 SARO10000Trisk
5.0 -0.1539 -22.315 1.77e-106 SARO10000Trisk
6.0 -0.1935 -24.456 1.27e-126 SARO10000Trisk
7.0 -0.2332 -26.0936 4.59e-143 SARO10000Trisk
8.0 -0.2729 -27.3846 1.23e-156 SARO10000Trisk
9.0 -0.3126 -28.4277 5.55e-168 SARO10000Trisk
10.0 -0.3523 -29.2874 1.4e-177 SARO10000Trisk
0.0 0.0445 20.298 5.89e-89 SARO20000Trisk
1.0 0.0035 1.1494 0.25 SARO20000Trisk
2.0 -0.0374 -9.2381 3.3e-20 SARO20000Trisk
3.0 -0.0784 -15.433 7.82e-53 SARO20000Trisk
4.0 -0.1193 -19.4723 3.33e-82 SARO20000Trisk
5.0 -0.1603 -22.2913 2.9e-106 SARO20000Trisk
6.0 -0.2012 -24.3621 1.05e-125 SARO20000Trisk
7.0 -0.2422 -25.9439 1.59e-141 SARO20000Trisk
8.0 -0.2831 -27.19 1.48e-154 SARO20000Trisk
9.0 -0.3241 -28.1961 1.96e-165 SARO20000Trisk
10.0 -0.365 -29.025 1.25e-174 SARO20000Trisk
0.0 0.0442 20.7268 1.47e-92 SARO5000Trisk
1.0 0.005 1.6791 0.0932 SARO5000Trisk
2.0 -0.0342 -8.7374 2.97e-18 SARO5000Trisk
3.0 -0.0735 -14.9728 6.97e-50 SARO5000Trisk
4.0 -0.1127 -19.0461 8.12e-79 SARO5000Trisk
5.0 -0.1519 -21.892 1.1e-102 SARO5000Trisk
6.0 -0.1912 -23.9837 4.8e-122 SARO5000Trisk
7.0 -0.2304 -25.5822 7.77e-138 SARO5000Trisk
8.0 -0.2696 -26.8417 7.27e-151 SARO5000Trisk
9.0 -0.3089 -27.8588 9.42e-162 SARO5000Trisk
10.0 -0.3481 -28.6969 5.79e-171 SARO5000Trisk
0.0 0.0735 32.7671 1.23e-218 SOTAFAROTrisk
1.0 0.0415 14.0077 5.77e-44 SOTAFAROTrisk
2.0 0.0095 2.5084 0.0122 SOTAFAROTrisk
3.0 -0.0225 -4.8222 1.45e-06 SOTAFAROTrisk
4.0 -0.0545 -9.7879 1.79e-22 SOTAFAROTrisk
5.0 -0.0865 -13.3363 4.57e-40 SOTAFAROTrisk
6.0 -0.1186 -15.9837 1.8e-56 SOTAFAROTrisk
7.0 -0.1506 -18.0282 5.36e-71 SOTAFAROTrisk
8.0 -0.1826 -19.6515 1.2e-83 SOTAFAROTrisk
9.0 -0.2146 -20.9701 1.24e-94 SOTAFAROTrisk
10.0 -0.2466 -22.0614 3.39e-104 SOTAFAROTrisk
0.0 0.0769 33.623 3.01e-229 SOTAJFTrisk
1.0 0.0448 14.9401 1.12e-49 SOTAJFTrisk
2.0 0.0128 3.3436 0.000832 SOTAJFTrisk
3.0 -0.0193 -4.1062 4.07e-05 SOTAJFTrisk
4.0 -0.0513 -9.1764 5.82e-20 SOTAJFTrisk
5.0 -0.0834 -12.8103 3.89e-37 SOTAJFTrisk
6.0 -0.1155 -15.5269 1.91e-53 SOTAJFTrisk
7.0 -0.1475 -17.6279 4.99e-68 SOTAJFTrisk
8.0 -0.1796 -19.2978 8.26e-81 SOTAJFTrisk
9.0 -0.2116 -20.6552 5.92e-92 SOTAJFTrisk
10.0 -0.2437 -21.7794 1.1e-101 SOTAJFTrisk
0.0 0.0808 35.4217 3.54e-252 SOTALGBMTrisk
1.0 0.0506 17.0313 1.02e-63 SOTALGBMTrisk
2.0 0.0204 5.4183 6.23e-08 SOTALGBMTrisk
3.0 -0.0098 -2.1109 0.0348 SOTALGBMTrisk
4.0 -0.0399 -7.2614 4.26e-13 SOTALGBMTrisk
5.0 -0.0701 -10.9643 9.73e-28 SOTALGBMTrisk
6.0 -0.1003 -13.738 2.23e-42 SOTALGBMTrisk
7.0 -0.1305 -15.8859 8.12e-56 SOTALGBMTrisk
8.0 -0.1607 -17.5947 8.74e-68 SOTALGBMTrisk
9.0 -0.1909 -18.9848 2.46e-78 SOTALGBMTrisk
10.0 -0.221 -20.1365 1.29e-87 SOTALGBMTrisk
0.0 0.0763 32.5371 8.13e-216 SOTAQRTrisk
1.0 0.0422 13.525 3.82e-41 SOTAQRTrisk
2.0 0.0081 2.0128 0.0442 SOTAQRTrisk
3.0 -0.0261 -5.2773 1.35e-07 SOTAQRTrisk
4.0 -0.0602 -10.1974 3.05e-24 SOTAQRTrisk
5.0 -0.0944 -13.7056 3.45e-42 SOTAQRTrisk
6.0 -0.1285 -16.3195 9.51e-59 SOTAQRTrisk
7.0 -0.1626 -18.3363 2.53e-73 SOTAQRTrisk
8.0 -0.1968 -19.9366 5.7e-86 SOTAQRTrisk
9.0 -0.2309 -21.2359 6.34e-97 SOTAQRTrisk
10.0 -0.2651 -22.311 1.93e-106 SOTAQRTrisk
0.0 0.0738 31.3377 2.35e-201 SOTARanklibTrisk
1.0 0.0384 12.223 5.36e-34 SOTARanklibTrisk
2.0 0.0029 0.7246 0.469 SOTARanklibTrisk
3.0 -0.0325 -6.5344 6.85e-11 SOTARanklibTrisk
4.0 -0.0679 -11.4255 5.88e-30 SOTARanklibTrisk
5.0 -0.1034 -14.9098 1.74e-49 SOTARanklibTrisk
6.0 -0.1388 -17.5044 4.0e-67 SOTARanklibTrisk
7.0 -0.1743 -19.5055 1.8e-82 SOTARanklibTrisk
8.0 -0.2097 -21.093 1.09e-95 SOTARanklibTrisk
9.0 -0.2451 -22.3816 4.42e-107 SOTARanklibTrisk
10.0 -0.2806 -23.4476 6.11e-117 SOTARanklibTrisk
0.0 0.0726 32.5375 8.04e-216 SOTASAROTrisk
1.0 0.0408 13.8045 9.12e-43 SOTASAROTrisk
2.0 0.009 2.3722 0.0177 SOTASAROTrisk
3.0 -0.0228 -4.8937 1.01e-06 SOTASAROTrisk
4.0 -0.0547 -9.8059 1.5e-22 SOTASAROTrisk
5.0 -0.0865 -13.3115 6.32e-40 SOTASAROTrisk
6.0 -0.1183 -15.9247 4.47e-56 SOTASAROTrisk
7.0 -0.1501 -17.9414 2.39e-70 SOTASAROTrisk
8.0 -0.1819 -19.5419 9.17e-83 SOTASAROTrisk
9.0 -0.2138 -20.8414 1.56e-93 SOTASAROTrisk
10.0 -0.2456 -21.9167 6.64e-103 SOTASAROTrisk
0.0 0.072 31.9843 4.21e-209 SOTAUriskTrisk
1.0 0.039 13.0917 1.09e-38 SOTAUriskTrisk
2.0 0.006 1.5841 0.113 SOTAUriskTrisk
3.0 -0.0269 -5.7295 1.05e-08 SOTAUriskTrisk
4.0 -0.0599 -10.6758 2.15e-26 SOTAUriskTrisk
5.0 -0.0928 -14.2072 3.7e-45 SOTAUriskTrisk
6.0 -0.1258 -16.8404 2.3e-62 SOTAUriskTrisk
7.0 -0.1588 -18.8733 1.84e-77 SOTAUriskTrisk
8.0 -0.1917 -20.487 1.55e-90 SOTAUriskTrisk
9.0 -0.2247 -21.7975 7.61e-102 SOTAUriskTrisk
10.0 -0.2577 -22.882 1.16e-111 SOTAUriskTrisk
0.0 0.0798 35.295 1.55e-250 SOTAXGBTrisk
1.0 0.0498 16.9208 6.23e-63 SOTAXGBTrisk
