alpha,topic,trisk,pvalue
0.0,23138,-0.7482,0.454
0.0,23139,0.8467,0.397
0.0,23140,0.5699,0.569
0.0,23141,-0.6721,0.502
0.0,23142,0.4562,0.648
0.0,23143,0.5572,0.577
0.0,23144,0.742,0.458
0.0,23145,0.5323,0.595
0.0,23146,1.9938,0.0462
0.0,23148,0.0,1.0
0.0,23149,0.1085,0.914
0.0,23150,0.0,1.0
0.0,23151,-0.0187,0.985
0.0,23152,-2.2583,0.024
0.0,23153,0.8128,0.416
0.0,23154,-0.3141,0.753
0.0,23155,0.1398,0.889
0.0,23156,1.4564,0.145
0.0,23157,1.6992,0.0893
0.0,23158,3.7804,0.0002
0.0,23159,-0.181,0.856
0.0,23160,-0.4176,0.676
0.0,23161,-0.4773,0.633
0.0,23162,0.4765,0.634
0.0,23163,0.949,0.343
0.0,23164,0.0,1.0
0.0,23165,1.236,0.217
0.0,23167,0.0624,0.95
0.0,23168,1.1867,0.235
0.0,23169,0.3726,0.709
0.0,23170,0.8864,0.375
0.0,23171,3.4489,0.0006
0.0,23172,0.6432,0.52
0.0,23173,0.0542,0.957
0.0,23174,0.9003,0.368
0.0,23175,0.8835,0.377
0.0,23176,4.0612,0.0
0.0,23177,0.6435,0.52
0.0,23178,1.7604,0.0784
0.0,23179,0.8791,0.379
0.0,23180,0.8116,0.417
0.0,23181,0.5806,0.562
0.0,23182,0.0,1.0
0.0,23183,-1.0068,0.314
0.0,23184,0.0,1.0
0.0,23185,0.0857,0.932
0.0,23186,-0.6842,0.494
0.0,23188,0.0065,0.995
0.0,23189,0.0378,0.97
0.0,23190,1.1744,0.24
0.0,23191,1.6961,0.0899
0.0,23193,-0.2586,0.796
0.0,23194,1.9754,0.0483
0.0,23195,0.3305,0.741
0.0,23196,-1.2149,0.224
0.0,23197,0.7157,0.474
0.0,23198,2.2292,0.0258
0.0,23199,0.5418,0.588
0.0,23200,0.519,0.604
0.0,23201,0.4721,0.637
0.0,23202,1.8583,0.0632
0.0,23203,0.5011,0.616
0.0,23204,0.0,1.0
0.0,23205,0.0,1.0
0.0,23206,0.0,1.0
0.0,23207,0.603,0.547
0.0,23208,-0.5359,0.592
0.0,23209,2.2492,0.0245
0.0,23210,1.2148,0.224
0.0,23211,0.8318,0.406
0.0,23212,0.0,1.0
0.0,23213,0.4997,0.617
0.0,23214,-0.8632,0.388
0.0,23215,0.0,1.0
0.0,23216,0.563,0.573
0.0,23217,0.5219,0.602
0.0,23218,0.8547,0.393
0.0,23219,2.0175,0.0437
0.0,23220,0.0,1.0
0.0,23221,-0.9885,0.323
0.0,23222,-0.487,0.626
0.0,23223,0.0,1.0
0.0,23224,0.0,1.0
0.0,23225,1.3468,0.178
0.0,23226,0.6567,0.511
0.0,23227,-0.2107,0.833
0.0,23228,1.6983,0.0895
0.0,23229,1.1955,0.232
0.0,23230,0.7306,0.465
0.0,23231,1.4509,0.147
0.0,23232,0.4781,0.633
0.0,23234,1.0612,0.289
0.0,23235,-0.4652,0.642
0.0,23236,0.6272,0.531
0.0,23237,0.2187,0.827
0.0,23238,2.0315,0.0422
0.0,23239,1.1026,0.27
0.0,23240,-0.7798,0.436
0.0,23241,0.7491,0.454
0.0,23242,1.5837,0.113
0.0,23243,-2.8713,0.0041
0.0,23244,0.4575,0.647
