alpha,topic,trisk,pvalue
0.0,23139,1.0441,0.296
0.0,23140,0.0,1.0
0.0,23141,0.4828,0.629
0.0,23142,0.0865,0.931
0.0,23143,1.2071,0.227
0.0,23144,0.4167,0.677
0.0,23145,0.8421,0.4
0.0,23146,1.872,0.0612
0.0,23148,-0.7227,0.47
0.0,23149,0.1096,0.913
0.0,23150,-0.5302,0.596
0.0,23151,-0.3699,0.711
0.0,23152,-0.3162,0.752
0.0,23153,0.0965,0.923
0.0,23154,-0.3701,0.711
0.0,23155,0.624,0.533
0.0,23156,1.4705,0.141
0.0,23157,1.4105,0.158
0.0,23158,3.8171,0.0001
0.0,23159,-0.1827,0.855
0.0,23160,-0.4217,0.673
0.0,23161,0.285,0.776
0.0,23162,0.4811,0.63
0.0,23163,0.9582,0.338
0.0,23164,0.7601,0.447
0.0,23165,1.248,0.212
0.0,23167,0.063,0.95
0.0,23168,1.1982,0.231
0.0,23169,0.0954,0.924
0.0,23170,1.7915,0.0733
0.0,23171,3.4824,0.0005
0.0,23172,0.6494,0.516
0.0,23173,-0.5693,0.569
0.0,23174,0.7268,0.467
0.0,23175,0.7236,0.469
0.0,23176,4.0892,0.0
0.0,23177,1.0502,0.294
0.0,23178,1.9566,0.0504
0.0,23179,0.8462,0.397
0.0,23180,0.8649,0.387
0.0,23181,-0.1899,0.849
0.0,23182,0.0,1.0
0.0,23183,-0.5475,0.584
0.0,23184,0.0,1.0
0.0,23185,0.2499,0.803
0.0,23186,-0.6909,0.49
0.0,23188,0.3814,0.703
0.0,23189,0.1101,0.912
0.0,23190,0.7947,0.427
0.0,23191,1.7945,0.0728
0.0,23193,-0.2611,0.794
0.0,23194,1.7167,0.0861
0.0,23195,0.4889,0.625
0.0,23196,-0.4315,0.666
0.0,23197,0.7227,0.47
0.0,23198,2.3033,0.0213
0.0,23199,0.5471,0.584
0.0,23200,0.1874,0.851
0.0,23201,0.7312,0.465
0.0,23202,3.7228,0.0002
0.0,23203,0.506,0.613
0.0,23204,-0.7874,0.431
0.0,23205,0.4068,0.684
0.0,23206,0.0,1.0
0.0,23207,0.1792,0.858
0.0,23208,-0.5411,0.588
0.0,23209,1.673,0.0944
0.0,23210,1.2266,0.22
0.0,23211,0.1872,0.852
0.0,23212,0.0,1.0
0.0,23213,0.392,0.695
0.0,23214,-1.7604,0.0784
0.0,23215,-0.1634,0.87
0.0,23216,0.3094,0.757
0.0,23217,0.0596,0.952
0.0,23218,0.863,0.388
0.0,23219,2.037,0.0417
0.0,23220,0.0,1.0
0.0,23221,-1.2479,0.212
0.0,23222,-0.4917,0.623
0.0,23223,0.0,1.0
0.0,23224,0.0,1.0
0.0,23225,1.3361,0.182
0.0,23226,0.7861,0.432
0.0,23227,-0.2127,0.832
