alpha,topic,trisk,pvalue
0.0,23137,-1.3183,0.187
0.0,23138,-0.3542,0.723
0.0,23139,0.6679,0.504
0.0,23140,0.6602,0.509
0.0,23141,-0.7782,0.436
0.0,23142,0.4552,0.649
0.0,23143,1.4173,0.156
0.0,23144,0.4304,0.667
0.0,23145,0.5312,0.595
0.0,23146,1.904,0.057
0.0,23148,-0.7142,0.475
0.0,23149,0.1083,0.914
0.0,23150,0.0,1.0
0.0,23151,-0.3303,0.741
0.0,23152,-2.2534,0.0243
0.0,23153,-0.5874,0.557
0.0,23154,-0.3134,0.754
0.0,23155,0.1395,0.889
0.0,23156,1.4533,0.146
0.0,23157,1.844,0.0652
0.0,23158,3.7723,0.0002
0.0,23159,-0.1806,0.857
0.0,23160,0.4616,0.644
0.0,23161,-0.3688,0.712
0.0,23162,0.4755,0.634
0.0,23163,0.8709,0.384
0.0,23164,0.647,0.518
0.0,23165,1.2333,0.218
0.0,23167,0.0622,0.95
0.0,23168,1.1841,0.236
0.0,23169,0.0943,0.925
0.0,23170,0.9775,0.328
0.0,23171,3.4415,0.0006
0.0,23172,0.6418,0.521
0.0,23173,-0.6166,0.538
0.0,23174,0.8983,0.369
0.0,23175,2.1282,0.0334
0.0,23176,3.9985,0.0001
0.0,23177,0.8831,0.377
0.0,23178,1.7567,0.079
0.0,23179,0.8363,0.403
0.0,23180,0.8099,0.418
0.0,23181,0.3698,0.712
0.0,23182,0.0,1.0
0.0,23183,-1.0046,0.315
0.0,23184,0.0,1.0
0.0,23185,0.247,0.805
0.0,23186,-1.4795,0.139
0.0,23188,0.3392,0.734
0.0,23189,0.1327,0.894
0.0,23190,0.2542,0.799
0.0,23191,1.943,0.0521
0.0,23193,-0.258,0.796
0.0,23194,1.6966,0.0898
0.0,23195,0.6607,0.509
0.0,23196,-1.2123,0.225
0.0,23197,0.7142,0.475
0.0,23198,2.5982,0.0094
0.0,23199,0.7022,0.483
0.0,23200,0.1852,0.853
0.0,23201,1.4132,0.158
0.0,23202,1.5872,0.113
0.0,23203,1.4418,0.149
0.0,23204,-1.0083,0.313
0.0,23205,0.3612,0.718
0.0,23206,0.0,1.0
0.0,23207,-0.1887,0.85
0.0,23208,-0.5348,0.593
0.0,23209,1.2949,0.195
0.0,23210,1.2122,0.225
0.0,23211,0.4973,0.619
0.0,23212,0.0,1.0
0.0,23213,0.3874,0.698
0.0,23214,-0.8614,0.389
0.0,23215,0.0,1.0
0.0,23216,0.3057,0.76
0.0,23217,0.0589,0.953
0.0,23218,0.9495,0.342
0.0,23219,2.0131,0.0441
0.0,23220,2.3492,0.0188
0.0,23221,-0.9323,0.351
0.0,23222,-0.7564,0.449
0.0,23223,0.0,1.0
0.0,23224,0.0,1.0
0.0,23225,1.1711,0.242
0.0,23226,0.6105,0.542
0.0,23227,-0.2102,0.834
0.0,23228,0.3953,0.693
0.0,23229,1.2674,0.205
0.0,23230,0.729,0.466
0.0,23231,1.6284,0.103
0.0,23232,0.4771,0.633
